Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:53:26.000,-2743892.758297836,4701316.9348942945,3312896.028439711,2,11
2025/01/17 08:53:27.000,-2743942.24871163,4701328.134570332,3312914.4094577385,0,0
2025/01/17 08:53:28.000,-2743939.17917169,4701326.494707604,3312912.9043319686,0,0
2025/01/17 08:53:29.000,-2743938.2683299016,4701325.159347702,3312912.2257486787,0,0
2025/01/17 08:53:30.000,-2743939.8987207403,4701321.994070666,3312911.2392486497,0,0
2025/01/17 08:53:31.000,-2743937.253938181,4701319.577915785,3312909.343860467,0,0
2025/01/17 08:53:32.000,-2743937.7797913896,4701318.417324711,3312908.8411511425,0,0
2025/01/17 08:53:33.000,-2743927.6779572223,4701303.89128385,3312899.0293050595,0,0
2025/01/17 08:53:34.000,-2743929.277952175,4701301.153061455,3312898.342881642,0,0
2025/01/17 08:53:35.000,-2743929.1165547715,4701302.072224486,3312897.9025966306,0,0
2025/01/17 08:53:36.000,-2743894.1822793926,4701331.756901473,3312900.1415809165,3,1
2025/01/17 08:53:37.000,-2743930.914566831,4701304.221769813,3312899.838931267,0,0
2025/01/17 08:53:38.000,-2743931.4695612206,4701303.658072377,3312900.3845936265,0,0
2025/01/17 08:53:41.000,-2743892.8150231135,4701317.022700512,3312896.643375116,3,1
2025/01/17 08:53:42.000,-2743892.7433586097,4701316.667522369,3312896.8282094095,3,1
2025/01/17 08:53:43.000,-2743893.615134712,4701317.917871089,3312896.758353964,3,12
2025/01/17 08:53:44.000,-2743890.9993627667,4701315.530993082,3312897.968531433,5,3
2025/01/17 08:53:45.000,-2743889.1333638923,4701315.42059698,3312894.3134179553,5,1
2025/01/17 08:53:46.000,-2743888.7589561944,4701317.552913973,3312895.2217196412,5,1
2025/01/17 08:53:47.000,-2743888.2080762843,4701313.844538832,3312903.516502041,4,5
2025/01/17 08:53:48.000,-2743884.9239188964,4701315.742294415,3312893.496578512,6,1
2025/01/17 08:53:49.000,-2743885.249484171,4701314.715580646,3312893.150829481,7,1
2025/01/17 08:53:50.000,-2743885.1766760554,4701314.654350972,3312894.202409247,6,1
2025/01/17 08:53:51.000,-2743884.279584437,4701314.946855362,3312893.757514584,8,1
2025/01/17 08:53:52.000,-2743884.9304295997,4701314.543429306,3312893.3420663276,7,1
2025/01/17 08:53:53.000,-2743885.3483730997,4701317.577968186,3312893.9418524206,5,1
2025/01/17 08:53:54.000,-2743885.8205332085,4701316.117121729,3312893.138055904,4,1
2025/01/17 08:53:55.000,-2743888.042138259,4701314.262584419,3312898.2488191677,2,9
2025/01/17 08:53:56.000,-2743892.8174259807,4701318.979599182,3312895.979836929,3,26
2025/01/17 08:53:57.000,-2743893.655812455,4701320.7323532915,3312896.573565125,3,12
2025/01/17 08:53:58.000,-2743894.4026306137,4701322.403558636,3312897.6598199303,3,1
2025/01/17 08:53:59.000,-2743913.85015391,4701357.466568238,3312915.2951140935,9,66
2025/01/17 08:54:00.000,-2743897.555357506,4701325.716217901,3312900.1192530147,3,1
2025/01/17 08:54:02.000,-2743926.452289918,4701312.59759349,3312901.68337201,0,0
2025/01/17 08:54:03.000,-2743928.751569003,4701311.60274294,3312902.0791471894,0,0
2025/01/17 08:54:04.000,-2743929.3712125383,4701312.14741764,3312902.0185794285,0,0
2025/01/17 08:54:05.000,-2743929.251954996,4701310.016101807,3312901.373159349,0,0
2025/01/17 08:54:06.000,-2743929.0448731766,4701308.28956558,3312900.3639807734,0,0
2025/01/17 08:54:07.000,-2743928.1505891895,4701309.147227807,3312901.101819475,0,0
2025/01/17 08:54:08.000,-2743925.425261454,4701306.401378926,3312898.992267973,0,0
2025/01/17 08:54:09.000,-2743924.579078722,4701306.711942274,3312898.7319411365,0,0
2025/01/17 08:54:10.000,-2743921.5435292567,4701304.110635818,3312896.5130808996,0,0
2025/01/17 08:54:11.000,-2743921.4747314947,4701302.973291489,3312896.5252104797,0,0
2025/01/17 08:54:12.000,-2743920.793944144,4701301.659286159,3312895.8678607508,0,0
2025/01/17 08:54:13.000,-2743921.229655952,4701300.321830142,3312895.8518937086,0,0
2025/01/17 08:54:14.000,-2743921.0424851845,4701297.651972789,3312894.903249516,0,0
2025/01/17 08:54:15.000,-2743921.242636464,4701288.752984873,3312891.835299631,0,0
2025/01/17 08:54:16.000,-2743921.9367220094,4701286.538513315,3312890.9258277835,0,0
2025/01/17 08:54:17.000,-2743923.3584997724,4701285.806613779,3312891.3206787216,0,0
2025/01/17 08:54:18.000,-2743923.2530088313,4701286.265180074,3312891.2838193662,0,0
2025/01/17 08:54:19.000,-2743924.389481575,4701289.286471722,3312892.6988788447,0,0
2025/01/17 08:54:22.000,-2743906.9862217717,4701343.0930497395,3312907.0949223763,11,21
2025/01/17 08:54:23.000,-2743908.9270615196,4701344.571122818,3312880.448990292,9,2
2025/01/17 08:54:24.000,-2743906.943500135,4701344.095366223,3312909.365294344,11,40
2025/01/17 08:54:26.000,-2743905.9352607117,4701341.51137494,3312907.7956493264,10,23
2025/01/17 08:54:27.000,-2743905.8611924513,4701341.215950303,3312906.9476762223,10,25
2025/01/17 08:54:28.000,-2743908.2910244996,4701347.634481528,3312894.967788271,10,9
2025/01/17 08:54:29.000,-2743905.9065248338,4701340.55404283,3312905.5983651453,9,41
2025/01/17 08:54:30.000,-2743900.941119705,4701332.763894874,3312919.2950496436,9,6
2025/01/17 08:54:31.000,-2743907.2465875335,4701342.798249912,3312898.527536878,9,12
2025/01/17 08:54:32.000,-2743905.3953052997,4701338.658504179,3312906.2318482576,9,21
2025/01/17 08:54:33.000,-2743904.941420908,4701340.720277314,3312904.608011588,10,17
2025/01/17 08:54:34.000,-2743905.46295261,4701338.663394843,3312906.08680274,11,21
2025/01/17 08:54:35.000,-2743905.028772829,4701337.670321337,3312905.6906589055,11,21
2025/01/17 08:54:36.000,-2743908.219238316,4701346.187644704,3312891.1846654154,10,2
2025/01/17 08:54:37.000,-2743904.759738096,4701337.819847948,3312905.5695314966,11,21
2025/01/17 08:54:38.000,-2743907.8343685446,4701344.875713764,3312890.8040678864,11,2
2025/01/17 08:54:39.000,-2743904.491588757,4701336.200331074,3312905.008903683,11,21
